"UTIL_DEVICE_ID","NIC_MAC_ID","UIQ_DEVICE_STATE","IP_ADDRESS","LATITUDE_DEG","LONGITUDE_DEG","INSERT_TS","'STREETLIGHT'","UTIL_PREMISE_ID","ADDRESS1","INSTANT_POWER","INSTANT_VOLTAGE","ENERGY_DELIVERED","CURRENT_MAGNITUDE"
"0000000012159575",001350050056416D,"Discovered","fdc5:31e4:14e:2d:213:5005:56:416d",-37.7964043819,144.9308566262,19/JUL/18 02:34:50.740998000 AM,"Street Light","A030285","260 BELLAIR STREET",,,,
"0000000012159585",00135005005642CC,"Discovered","fdc5:31e4:14e:2d:213:5005:56:42cc",-37.7968859245,144.9311305605,19/JUL/18 02:34:50.742238000 AM,"Street Light","A028361","272 BELLAIR STREET",,,,
"0000000012159578",0013500500564DB3,"Discovered","fdc5:31e4:14e:96:213:5005:56:4db3",-37.7973555168,144.9312900823,19/JUL/18 02:34:50.743446000 AM,"Street Light","A028352","290 BELLAIR STREET",,,,
"0000000012159530",00135005005634B9,"Discovered","fdc5:31e4:14e:2d:213:5005:56:34b9",-37.7983313688,144.9345665443,19/JUL/18 02:34:50.757240000 AM,"Street Light","A028982","28 BRUCE STREET",,,,
"0000000012159416",0013500500564E4A,"Discovered","fdc5:31e4:14e:2d:213:5005:56:4e4a",-37.7963298154,144.9322555884,19/JUL/18 02:34:50.761418000 AM,"Street Light","A026950","11 CHELMSFORD STREET",,,,
"0000000012159527",00135005005634A1,"Discovered","fdc5:31e4:14e:2d:213:5005:56:34a1",-37.7963820039,144.9325585147,19/JUL/18 02:34:50.764256000 AM,"Street Light","A030299","19 CHELMSFORD STREET",,,,
"0000000012159534",001350050056305A,"Discovered","fdc5:31e4:14e:2d:213:5005:56:305a",-37.7967359569,144.9346913779,19/JUL/18 02:34:50.766874000 AM,"Street Light","A028994","53 CHELMSFORD STREET",,,,
"0000000012159603",001350050056509E,"Discovered","fdc5:31e4:14e:96:213:5005:56:509e",37.7963199998,144.927597359,19/JUL/18 02:34:50.776545000 AM,"Street Light","A026853","46 DERBY STREET",,,,
"0000000012159590",00135005005642CD,"Discovered","fdc5:31e4:14e:2d:213:5005:56:42cd",-37.7966040876,144.9278642856,19/JUL/18 02:34:50.780166000 AM,"Street Light","A026854","11 DERBY STREET",,,,
"0000000012159602",0013500500564CBB,"Discovered","fdc5:31e4:14e:2d:213:5005:56:4cbb",-37.7972919457,144.9285113335,19/JUL/18 02:34:50.783537000 AM,"Street Light","A028396","35 DERBY STREET",,,,
